iter	Passed	Remaining
0	1322	196992
1	2622	194096
2	3855	188922
3	5109	186494
4	6286	182308
5	7505	180129
6	8690	177539
7	9877	175332
8	10999	172329
9	12126	169765
10	13190	166678
11	14369	165254
12	15546	163834
13	16840	163590
14	18061	162549
15	19266	161353
16	20532	160632
17	21590	158327
18	22778	157054
19	23941	155618
20	25026	153735
21	26201	152446
22	27260	150525
23	28501	149631
24	29656	148282
25	30815	146964
26	31926	145442
27	33159	144478
28	34220	142782
29	35227	140911
30	36236	139101
31	37260	137396
32	38277	135712
33	39426	134512
34	40643	133543
35	41831	132465
36	42894	131001
37	43946	129525
38	45029	128160
39	46165	126956
40	47292	125730
41	48222	124001
42	49301	122679
43	50274	121114
44	51304	119709
45	52238	118104
46	53418	117065
47	54515	115844
48	55591	114586
49	56646	113293
50	57577	111767
51	58614	110465
52	59835	109510
53	60686	107887
54	61725	106617
55	62832	105469
56	63857	104188
57	64788	102767
58	65798	101485
59	66752	100128
60	67699	98774
61	68606	97377
62	69729	96292
63	70873	95236
64	71765	93847
65	72803	92658
66	73837	91470
67	74721	90105
68	75482	88610
69	76538	87472
70	77592	86335
71	78675	85231
72	79685	84051
73	80659	82839
74	81531	81531
75	82532	80360
76	83595	79252
77	84438	77942
78	85468	76813
79	86451	75644
80	87353	74412
81	88286	73212
82	89379	72149
83	90413	71039
84	91682	70109
85	92711	68994
86	93679	67837
87	94704	66723
88	95661	65565
89	96637	64424
90	97689	63337
91	98836	62310
92	99883	61218
93	101078	60217
94	102044	59078
95	103144	58018
96	103984	56816
97	104863	55641
98	105929	54569
99	106981	53490
100	107832	52314
101	108772	51187
102	109942	50167
103	111013	49102
104	112038	48016
105	112944	46882
106	113916	45779
107	114938	44698
108	115837	43571
109	116910	42512
110	117670	41343
111	118514	40210
112	119249	39046
113	120514	38057
114	121439	36959
115	122533	35915
116	123587	34857
117	124456	33750
118	125435	32676
119	126274	31568
120	127297	30509
121	128389	29466
122	129452	28416
123	130625	27389
124	131722	26344
125	132538	25245
126	133560	24188
127	134544	23124
128	135475	22054
129	136536	21005
130	137525	19946
131	138497	18886
132	139336	17809
133	140347	16757
134	141391	15710
135	142316	14650
136	143366	13604
137	144405	12556
138	145339	11501
139	146249	10446
140	147157	9393
141	148134	8345
142	148920	7289
143	149939	6247
144	150824	5200
145	151890	4161
146	152715	3116
147	153845	2078
148	154848	1039
149	155625	0
